data e hora	media_coef	num_row	accurate	per_i	qtd_dias
 2023-11-12 01:28:13.08883 	0.161581704	10	1	5	17
 2023-11-12 01:33:57.419883 	0.158787875	10	1	5	17
 2023-11-12 01:39:12.816734 	0.162239159	10	1	5	17
 2023-11-12 01:44:44.133646 	0.157637408	10	1	5	17
 2023-11-12 01:49:23.33034 	0.157181907	10	1	5	17
 2023-11-12 01:54:16.043656 	0.183519579	10	1	6	17
 2023-11-12 01:58:07.206841 	0.182392903	10	1	6	17
 2023-11-12 02:02:26.812914 	0.184888696	10	1	6	17
 2023-11-12 02:06:34.25504 	0.182584048	10	1	6	17
 2023-11-12 02:10:15.905987 	0.183415816	10	1	6	17
 2023-11-12 02:14:29.868615 	0.352819658	10	1	7	17
 2023-11-12 02:18:16.827431 	0.352260509	10	1	7	17
 2023-11-12 02:21:35.254881 	0.349331916	10	1	7	17
 2023-11-12 02:25:05.417021 	0.355324044	10	1	7	17
 2023-11-12 02:28:32.989833 	0.349170296	10	1	7	17
 2023-11-12 02:39:11.447147 	0.234485097	10	1	4	18
 2023-11-12 02:42:02.881794 	0.235991798	10	1	4	18
 2023-11-12 02:46:30.219881 	0.23166514	10	1	4	18
 2023-11-12 02:49:16.520878 	0.234692329	10	1	4	18
 2023-11-12 02:53:09.721804 	0.237294847	10	1	4	18
 2023-11-12 02:58:20.266578 	0.158002836	10	1	5	18
 2023-11-12 03:02:55.271023 	0.155393137	10	1	5	18
 2023-11-12 03:08:01.875765 	0.158779633	10	1	5	18
 2023-11-12 03:14:03.227786 	0.158416838	10	1	5	18
 2023-11-12 03:18:58.081871 	0.160489419	10	1	5	18
 2023-11-12 03:24:54.511704 	0.182860902	10	1	6	18
 2023-11-12 03:29:19.378599 	0.180372916	10	1	6	18
 2023-11-12 03:33:22.820896 	0.179895458	10	1	6	18
 2023-11-12 03:36:28.91156 	0.183167603	10	1	6	18
 2023-11-12 03:40:24.771071 	0.181819679	10	1	6	18
 2023-11-12 03:44:20.728384 	0.356492062	10	1	7	18
 2023-11-12 03:49:35.029103 	0.354654258	10	1	7	18
 2023-11-12 03:53:36.683997 	0.35206945	10	1	7	18
 2023-11-12 03:57:34.949239 	0.352403909	10	1	7	18
 2023-11-12 04:01:31.928987 	0.353531928	10	1	7	18
 2023-11-12 04:11:57.685704 	0.237383973	10	1	4	19
 2023-11-12 04:15:28.821303 	0.236118637	10	1	4	19
 2023-11-12 04:18:57.269689 	0.237691129	10	1	4	19
 2023-11-12 04:22:25.950935 	0.238256237	10	1	4	19
 2023-11-12 04:26:40.479985 	0.237318317	10	1	4	19
 2023-11-12 04:30:40.63646 	0.162333464	10	1	5	19
 2023-11-12 04:36:30.987427 	0.158736429	10	1	5	19
 2023-11-12 04:41:00.655499 	0.160250263	10	1	5	19
 2023-11-12 04:46:06.981651 	0.157692328	10	1	5	19
 2023-11-12 04:50:07.045866 	0.159730599	10	1	5	19
 2023-11-12 04:54:05.701819 	0.179598002	10	1	6	19
 2023-11-12 04:57:18.776008 	0.181346723	10	1	6	19
 2023-11-12 05:00:20.659392 	0.184302326	10	1	6	19
 2023-11-12 05:05:06.927703 	0.186882612	10	1	6	19
 2023-11-12 05:10:56.408808 	0.185645972	10	1	6	19
 2023-11-12 05:15:33.583734 	0.354213128	10	1	7	19
 2023-11-12 05:19:18.240995 	0.355515116	10	1	7	19
 2023-11-12 05:23:11.040997 	0.348950935	10	1	7	19
 2023-11-12 05:26:06.186848 	0.357209751	10	1	7	19
 2023-11-12 05:30:01.802494 	0.354536238	10	1	7	19
 2023-11-12 05:40:08.479389 	0.235555155	10	1	4	20
 2023-11-12 05:43:16.402113 	0.240174827	10	1	4	20
 2023-11-12 05:47:53.214413 	0.240447783	10	1	4	20
 2023-11-12 05:52:40.180421 	0.236096024	10	1	4	20
 2023-11-12 05:55:33.405303 	0.236527251	10	1	4	20
 2023-11-12 05:58:42.395272 	0.171783186	10	1	5	20
 2023-11-12 06:03:16.602415 	0.174675506	10	1	5	20
 2023-11-12 06:09:28.512056 	0.170772942	10	1	5	20
 2023-11-12 06:13:40.481116 	0.171713722	10	1	5	20
 2023-11-12 06:18:58.978887 	0.174632557	10	1	5	20
 2023-11-12 06:24:06.631781 	0.178742533	10	1	6	20
 2023-11-12 06:28:48.099949 	0.175523386	10	1	6	20
 2023-11-12 06:31:38.616628 	0.177814801	10	1	6	20
 2023-11-12 06:35:47.588377 	0.175786587	10	1	6	20
 2023-11-12 06:39:00.158612 	0.177127752	10	1	6	20
 2023-11-12 06:43:19.636376 	0.353841862	10	1	7	20
 2023-11-12 06:46:35.082477 	0.356732363	10	1	7	20
 2023-11-12 06:50:30.853652 	0.356532791	10	1	7	20
 2023-11-12 06:55:08.509187 	0.355718265	10	1	7	20
 2023-11-12 06:58:54.914285 	0.351760396	10	1	7	20
 2023-11-12 07:09:07.899331 	0.241448772	10	1	4	21
 2023-11-12 07:13:14.094396 	0.24181084	10	1	4	21
 2023-11-12 07:16:58.771746 	0.239668676	10	1	4	21
 2023-11-12 07:20:31.712366 	0.23873585	10	1	4	21
 2023-11-12 07:24:19.436948 	0.239725829	10	1	4	21
 2023-11-12 07:27:02.757627 	0.170986684	10	1	5	21
 2023-11-12 07:32:37.201331 	0.166524268	10	1	5	21
 2023-11-12 07:36:42.721342 	0.169024475	10	1	5	21
 2023-11-12 07:41:27.776743 	0.170838013	10	1	5	21
 2023-11-12 07:47:34.781079 	0.170281581	10	1	5	21
 2023-11-12 07:53:22.389635 	0.179675017	10	1	6	21
 2023-11-12 07:57:18.752506 	0.185564743	10	1	6	21
 2023-11-12 08:02:27.111627 	0.186481494	10	1	6	21
 2023-11-12 08:08:04.320718 	0.185374418	10	1	6	21
 2023-11-12 08:12:19.855581 	0.183947551	10	1	6	21
 2023-11-12 08:16:53.606125 	0.353035345	10	1	7	21
 2023-11-12 08:21:09.789949 	0.359104689	10	1	7	21
 2023-11-12 08:24:47.068631 	0.35405091	10	1	7	21
 2023-11-12 08:28:33.864499 	0.354537974	10	1	7	21
 2023-11-12 08:32:39.877057 	0.355004433	10	1	7	21
 2023-11-12 08:43:12.679078 	0.247602741	10	1	4	22
 2023-11-12 08:46:26.090473 	0.248166425	10	1	4	22
 2023-11-12 08:50:57.882948 	0.24938803	10	1	4	22
 2023-11-12 08:55:29.712463 	0.245059305	10	1	4	22
 2023-11-12 08:58:42.782178 	0.248175045	10	1	4	22
 2023-11-12 09:02:22.164076 	0.164860274	10	1	5	22
 2023-11-12 09:08:14.231341 	0.161885697	10	1	5	22
 2023-11-12 09:13:07.734752 	0.167866528	10	1	5	22
 2023-11-12 09:21:03.277251 	0.16980082	10	1	5	22
 2023-11-12 09:28:21.269317 	0.15743623	10	1	5	22
 2023-11-12 09:32:41.390974 	0.183534859	10	1	6	22
 2023-11-12 09:37:11.292352 	0.181054271	10	1	6	22
 2023-11-12 09:41:19.00562 	0.181496448	10	1	6	22
 2023-11-12 09:45:43.08937 	0.181378807	10	1	6	22
 2023-11-12 09:49:38.184248 	0.182253367	10	1	6	22
 2023-11-12 09:53:46.988236 	0.349486965	10	1	7	22
 2023-11-12 09:56:54.446733 	0.353759216	10	1	7	22
 2023-11-12 10:00:58.533994 	0.353519766	10	1	7	22
 2023-11-12 10:05:32.804056 	0.356029038	10	1	7	22
 2023-11-12 10:09:53.866112 	0.353593529	10	1	7	22
 2023-11-12 10:19:49.333125 	0.250902752	10	1	4	23
 2023-11-12 10:23:37.642338 	0.252962809	10	1	4	23
 2023-11-12 10:27:15.306531 	0.250174928	10	1	4	23
 2023-11-12 10:30:50.478291 	0.253350988	10	1	4	23
 2023-11-12 10:34:09.983179 	0.249455586	10	1	4	23
 2023-11-12 10:37:36.946002 	0.160515102	10	1	5	23
 2023-11-12 10:42:48.477491 	0.165501493	10	1	5	23
 2023-11-12 10:49:07.292404 	0.165099191	10	1	5	23
 2023-11-12 10:55:32.382728 	0.165473023	10	1	5	23
 2023-11-12 11:01:35.495842 	0.164316804	10	1	5	23
 2023-11-12 11:07:03.14034 	0.179296399	10	1	6	23
 2023-11-12 11:10:47.198345 	0.17551781	10	1	6	23
 2023-11-12 11:14:27.29646 	0.181999426	10	1	6	23
 2023-11-12 11:20:04.827181 	0.179503804	10	1	6	23
 2023-11-12 11:25:51.755425 	0.180368828	10	1	6	23
 2023-11-12 11:30:04.898739 	0.351570478	10	1	7	23
 2023-11-12 11:33:41.40772 	0.352306232	10	1	7	23
 2023-11-12 11:37:41.062474 	0.352826572	10	1	7	23
 2023-11-12 11:40:36.046345 	0.348627164	10	1	7	23
 2023-11-12 11:43:58.94081 	0.361897528	10	1	7	23
 2023-11-12 11:55:37.500109 	0.247756849	10	1	4	24
 2023-11-12 12:00:00.670506 	0.247675007	10	1	4	24
 2023-11-12 12:03:57.642534 	0.246122045	10	1	4	24
 2023-11-12 12:08:32.775077 	0.247494609	10	1	4	24
 2023-11-12 12:13:07.800976 	0.246342207	10	1	4	24
 2023-11-12 12:16:37.799985 	0.167219183	10	1	5	24
 2023-11-12 12:23:06.294667 	0.167002613	10	1	5	24
 2023-11-12 12:29:28.459751 	0.162386814	10	1	5	24
 2023-11-12 12:34:52.220845 	0.162581227	10	1	5	24
 2023-11-12 12:39:52.829015 	0.16640994	10	1	5	24
 2023-11-12 12:46:47.980987 	0.174785435	10	1	6	24
 2023-11-12 12:50:32.256054 	0.180106198	10	1	6	24
 2023-11-12 12:54:34.900513 	0.179419186	10	1	6	24
 2023-11-12 12:59:11.531028 	0.177482702	10	1	6	24
 2023-11-12 13:02:49.207117 	0.179577724	10	1	6	24
 2023-11-12 13:06:45.834045 	0.355174824	10	1	7	24
 2023-11-12 13:10:37.945202 	0.355581609	10	1	7	24
 2023-11-12 13:14:14.586507 	0.358588401	10	1	7	24
 2023-11-12 13:17:48.807418 	0.349839683	10	1	7	24
 2023-11-12 13:21:18.704102 	0.353107985	10	1	7	24
 2023-11-12 13:32:25.65886 	0.248201668	10	1	4	25
 2023-11-12 13:37:32.412069 	0.245948941	10	1	4	25
 2023-11-12 13:40:54.375095 	0.245316042	10	1	4	25
 2023-11-12 13:45:26.440484 	0.247128871	10	1	4	25
 2023-11-12 13:50:05.155686 	0.243918564	10	1	4	25
 2023-11-12 13:53:26.771184 	0.160722359	10	1	5	25
 2023-11-12 13:59:13.677333 	0.161934257	10	1	5	25
 2023-11-12 14:05:54.814185 	0.160828989	10	1	5	25
 2023-11-12 14:11:35.131169 	0.158463587	10	1	5	25
 2023-11-12 14:16:17.569941 	0.161661237	10	1	5	25
 2023-11-12 14:22:18.274151 	0.187580997	10	1	6	25
 2023-11-12 14:27:24.089076 	0.186678055	10	1	6	25
 2023-11-12 14:32:02.206449 	0.185157167	10	1	6	25
 2023-11-12 14:36:35.939506 	0.183817639	10	1	6	25
 2023-11-12 14:41:10.664457 	0.181188109	10	1	6	25
 2023-11-12 14:45:10.790603 	0.355541529	10	1	7	25
 2023-11-12 14:49:37.306927 	0.350821124	10	1	7	25
 2023-11-12 14:53:28.985376 	0.358346212	10	1	7	25
 2023-11-12 14:56:57.732302 	0.356220415	10	1	7	25
 2023-11-12 15:00:42.052593 	0.359267207	10	1	7	25
 2023-11-12 15:11:45.076576 	0.241337249	10	1	4	26
 2023-11-12 15:16:18.853591 	0.239595573	10	1	4	26
 2023-11-12 15:20:17.498832 	0.239126058	10	1	4	26
 2023-11-12 15:24:04.838763 	0.24069918	10	1	4	26
 2023-11-12 15:27:50.425537 	0.238928824	10	1	4	26
 2023-11-12 15:31:56.269419 	0.164007841	10	1	5	26
 2023-11-12 15:35:14.703726 	0.163659144	10	1	5	26
 2023-11-12 15:39:49.71189 	0.164435006	10	1	5	26
 2023-11-12 15:43:23.322846 	0.168152635	10	1	5	26
 2023-11-12 15:48:39.458844 	0.169777888	10	1	5	26
 2023-11-12 15:54:04.589321 	0.1829328	10	1	6	26
 2023-11-12 15:58:12.77208 	0.175900971	10	1	6	26
 2023-11-12 16:01:30.399839 	0.18042098	10	1	6	26
